id	source_name	source_url	policy_url	opportunity_type	target_url	relevance	account_or_fee	status	evidence_url	next_review	notes
vcstack	VC Stack	https://www.vcstack.io/	https://www.vcstack.io/submit-product	vertical_resource_submission	https://venturedex.co/research	VC and angel research tooling	Free Typeform; no submission fee found	ready	-	2026-09-01	Submit under Research or News and Resources; describe first-pass diligence and disclose maintainer affiliation.
nyu-entrepreneur	NYU Entrepreneurship Resource Library	https://entrepreneur.nyu.edu/library/pitching-and-fundraising/	https://entrepreneur.nyu.edu/library/pitching-and-fundraising/	university_resource_submission	https://venturedex.co/investors	Founder fundraising and investor research	Public resource form; no fee found	ready	-	2026-09-01	Position as a free source-backed resource; avoid product-ad language and acknowledge the library's community focus.
qwoted	Qwoted	https://www.qwoted.com/	https://intercom.help/qwoted/en/articles/5138967-is-qwoted-free-to-use	expert_source_response	https://venturedex.co/research	Editorial media citations for startup data	Free account tier; real expert identity required	researched	-	2026-09-08	Respond only to strongly matched calls with original data or analysis; publisher controls inclusion and rel.
help-b2b-writer	Help a B2B Writer	https://helpab2bwriter.com/	https://helpab2bwriter.com/	expert_source_response	https://venturedex.co/research	AI SaaS funding and data topics	Free source registration; real sender required	researched	-	2026-09-08	Answer matched requests for usefulness; do not make a backlink the condition of participation.
windborne-press	WindBorne Systems	https://windbornesystems.com/	https://windbornesystems.com/contact/	company_press_correction	https://venturedex.co/startups/windborne	Independent source-linked company analysis	No fee; named media outreach required	researched	-	2026-09-08	Offer the profile for factual review and optional In the News consideration without specifying anchor or rel.
isometric-press	Isometric	https://isometric.com/press	https://isometric.com/press	company_press_correction	https://venturedex.co/startups/isometric	Carbon market and certification analysis	No fee; named media outreach required	researched	-	2026-09-08	Ask for factual correction first; press page may reserve inclusion for major editorial coverage.
coderabbit-newsroom	CodeRabbit	https://www.coderabbit.ai/newsroom	https://www.coderabbit.ai/newsroom	company_press_correction	https://venturedex.co/startups/coderabbit	AI developer tools analysis	No fee; named media outreach required	researched	-	2026-09-08	One personalized note only; dynamic newsroom means link attributes must be verified if accepted.
whatships-use-case	WhatShips	https://whatships.com/developers/	https://whatships.com/contact/	integration_use_case	https://venturedex.co/launches	VentureDex uses the public launch catalog	Free GitHub account; no fee	researched	-	2026-09-08	Propose a real integration use case or correction; never frame it as a reciprocal-link exchange.
source-of-sources	Source of Sources	https://www.sourceofsources.com/	https://www.sourceofsources.com/	journalist_source_response	https://venturedex.co/research	Reporter requests on startups and venture	Free email subscription; real expert required	researched	-	2026-09-08	Reply only to relevant requests; final link and rel are controlled by the publisher.
sourcebottle	SourceBottle	https://www.sourcebottle.com/	https://www.sourcebottle.com/guidelines.asp?for=be-a-source	journalist_source_response	https://venturedex.co/research	International startup and business media requests	Free account; real expert required	researched	-	2026-09-08	Policy prohibits product promotion and automated-style pitching; use only for genuine expertise.
awesome-startup	Awesome Startup	https://github.com/KrishMunot/awesome-startup	https://github.com/KrishMunot/awesome-startup/blob/master/CONTRIBUTING.md	curated_resource_pull_request	https://venturedex.co/research	Data and Market Research category	Free GitHub pull request; rendered links may be nofollow	submitted	https://github.com/KrishMunot/awesome-startup/pull/139	2026-09-01	Open PR adds one canonical entry under 25 words; maintainer affiliation is disclosed and acceptance remains unverified.
